matchid  teamid     passes  bad_passes  pass_ratio   corners     fouls  cards  goals     shots  is_home                team_name   pass_80   pass_70  expected_goals  on_target  length  op_teamid  op_passes  op_bad_passes  op_pass_ratio  op_corners  op_fouls  op_cards  op_goals  op_shots             op_team_name  op_pass_80  op_pass_70  op_expected_goals  op_on_target  competitionid  seasonid  shots_op_ratio  goals_op_ratio  pass_op_ratio  points      timestamp
56    741505    5513   3.126316    1.357895    0.695550  0.021053  0.105263      1      3  0.126316        0       Philadelphia Union  0.168421  0.557895        1.370822   0.052632      95        928   4.694737       1.315789       0.779720    0.094737  0.126316         2         1  0.231579   New England Revolution    0.263158    0.842105           2.240067      0.063158             98      2014        0.545455        3.000000       0.892051       3  1404011543700
57    741505     928   4.694737    1.315789    0.779720  0.094737  0.126316      2      1  0.231579        1   New England Revolution  0.263158  0.842105        2.240067   0.063158      95       5513   3.126316       1.357895       0.695550    0.021053  0.105263         1         3  0.126316       Philadelphia Union    0.168421    0.557895           1.370822      0.052632             98      2014        1.833333        0.333333       1.121012       0  1404009523979
58    741504    3500   2.744681    1.095745    0.712707  0.095745  0.127660      2      1  0.053191        0      Seattle Sounders FC  0.095745  0.468085        0.803111   0.031915      94       1326   6.308511       1.021277       0.859420    0.053191  0.127660         0         0  0.159574              D.C. United    0.234043    0.680851           0.568343      0.031915             98      2014        0.333333        1.000000       0.829288       3  1404007144430
59    741504    1326   6.308511    1.021277    0.859420  0.053191  0.127660      0      0  0.159574        1              D.C. United  0.234043  0.680851        0.568343   0.031915      94       3500   2.744681       1.095745       0.712707    0.095745  0.127660         2         1  0.053191      Seattle Sounders FC    0.095745    0.468085           0.803111      0.031915             98      2014        3.000000        0.000000       1.205853       0  1404007142483
60    731816     837   3.247312    0.978495    0.766497  0.053763  0.204301      2      0  0.172043        0                  Uruguay  0.172043  0.462366        0.869184   0.043011      93        832   3.387097       1.000000       0.770171    0.032258  0.182796         1         2  0.096774                 Colombia    0.064516    0.301075           0.962984      0.043011              4      2013        1.777778        0.000000       0.995230       0  1403995943930
61    731816     832   3.387097    1.000000    0.770171  0.032258  0.182796      1      2  0.096774        1                 Colombia  0.064516  0.301075        0.962984   0.043011      93        837   3.247312       0.978495       0.766497    0.053763  0.204301         2         0  0.172043                  Uruguay    0.172043    0.462366           0.869184      0.043011              4      2013        0.562500        2.000000       1.004793       3  1403995943585
62    731815     831   3.149606    1.118110    0.736648  0.039370  0.220472      3      1  0.141732        0                    Chile  0.141732  0.488189        0.988548   0.023622     127        614   2.818898       1.173228       0.704724    0.070866  0.181102         4         1  0.220472                   Brazil    0.181102    0.385827           1.785709      0.047244              4      2013        0.642857        1.000000       1.045300       1  1403985370628
63    731815     614   2.818898    1.173228    0.704724  0.070866  0.181102      4      1  0.220472        1                   Brazil  0.181102  0.385827        1.785709   0.047244     127        831   3.149606       1.118110       0.736648    0.039370  0.220472         3         1  0.141732                    Chile    0.141732    0.488189           0.988548      0.023622              4      2013        1.555556        1.000000       0.956663       1  1403985366577
64    741502    1581   4.715789    1.473684    0.760611  0.073684  0.242105      1      0  0.115789        1         Portland Timbers  0.315789  0.800000        0.804304   0.031579      95        421   1.768421       1.389474       0.558140    0.052632  0.105263         4         1  0.094737     Sporting Kansas City    0.136842    0.284211           0.643032      0.021053             98      2014        1.222222        0.000000       1.362762       0  1403935385281
65    741502     421   1.768421    1.389474    0.558140  0.052632  0.105263      4      1  0.094737        0     Sporting Kansas City  0.136842  0.284211        0.643032   0.021053      95       1581   4.715789       1.473684       0.760611    0.073684  0.242105         1         0  0.115789         Portland Timbers    0.315789    0.800000           0.804304      0.031579             98      2014        0.818182        1.000000       0.733804       3  1403935382911
66    741501    2077   3.510638    0.946809    0.785714  0.063830  0.106383      1      2  0.212766        0               Toronto FC  0.297872  0.648936        1.550990   0.063830      94        399   4.031915       1.117021       0.781443    0.042553  0.117021         0         2  0.148936       New York Red Bulls    0.244681    0.553191           2.142987      0.063830             98      2014        1.428571        1.000000       1.005466       1  1403924426430
67    741501     399   4.031915    1.117021    0.781443  0.042553  0.117021      0      2  0.148936        1       New York Red Bulls  0.244681  0.553191        2.142987   0.063830      94       2077   3.510638       0.946809       0.785714    0.063830  0.106383         1         2  0.212766               Toronto FC    0.297872    0.648936           1.550990      0.063830             98      2014        0.700000        1.000000       0.994564       1  1403924426136
68    731813    1041   3.882979    0.893617    0.811111  0.074468  0.127660      1      0  0.170213        1              South Korea  0.297872  0.765957        1.000284   0.042553      94        360   2.989362       1.000000       0.747340    0.042553  0.170213         2         1  0.159574                  Belgium    0.148936    0.521277           1.102478      0.053191              4      2013        1.066667        0.000000       1.085330       0  1403823360944
69    731813     360   2.989362    1.000000    0.747340  0.042553  0.170213      2      1  0.159574        0                  Belgium  0.148936  0.521277        1.102478   0.053191      94       1041   3.882979       0.893617       0.811111    0.074468  0.127660         1         0  0.170213              South Korea    0.297872    0.765957           1.000284      0.042553              4      2013        0.937500        1.000000       0.921379       3  1403823355908
70    731814     536   4.542553    1.297872    0.776364  0.042553  0.159574      2      1  0.095745        0                   Russia  0.223404  0.702128        1.029048   0.042553      94       1215   3.265957       1.148936       0.737981    0.031915  0.148936         3         1  0.085106                  Algeria    0.148936    0.553191           1.760433      0.063830              4      2013        1.125000        1.000000       1.052011       1  1403823262418
71    731814    1215   3.265957    1.148936    0.737981  0.031915  0.148936      3      1  0.085106        1                  Algeria  0.148936  0.553191        1.760433   0.063830      94        536   4.542553       1.297872       0.776364    0.042553  0.159574         2         1  0.095745                   Russia    0.223404    0.702128           1.029048      0.042553              4      2013        0.888889        1.000000       0.950561       1  1403823258849
72    731812     359   4.178947    1.305263    0.760536  0.073684  0.168421      1      2  0.189474        1                 Portugal  0.231579  0.800000        1.799294   0.063158      95       1219   3.168421       1.084211       0.743210    0.042105  0.221053         3         1  0.189474                    Ghana    0.178947    0.494737           1.265009      0.042105              4      2013        1.000000        2.000000       1.023313       3  1403808949893
73    731812    1219   3.168421    1.084211    0.743210  0.042105  0.221053      3      1  0.189474        0                    Ghana  0.178947  0.494737        1.265009   0.042105      95        359   4.178947       1.305263       0.760536    0.073684  0.168421         1         2  0.189474                 Portugal    0.231579    0.800000           1.799294      0.063158              4      2013        1.000000        0.500000       0.977218       0  1403808948231
74    731811     357   7.574468    0.861702    0.896725  0.031915  0.159574      1      1  0.138298        0                  Germany  0.308511  1.180851        1.156981   0.063830      94        596   3.526882       0.795699       0.813896    0.021505  0.096774         2         0  0.043011                      USA    0.118280    0.376344           0.000000      0.000000              4      2013        3.215426        1.000000       1.101769       3  1403808875580
75    731811     596   3.526882    0.795699    0.813896  0.021505  0.096774      2      0  0.043011        1                      USA  0.118280  0.376344        0.000000   0.000000      93        357   7.574468       0.861702       0.896725    0.031915  0.159574         1         1  0.138298                  Germany    0.308511    1.180851           1.156981      0.063830              4      2013        0.311001        0.000000       0.907631       0  1403808871540
76    741500    1708   3.968085    1.085106    0.783613  0.063830  0.180851      2      0  0.095745        1      Vancouver Whitecaps  0.138298  0.478723        1.138984   0.042553      94       1616   2.872340       1.127660       0.716180    0.042553  0.180851         3         0  0.138298          Montreal Impact    0.148936    0.308511           1.203090      0.042553             98      2014        0.692308        0.000000       1.094157       1  1403758788616
77    741500    1616   2.872340    1.127660    0.716180  0.042553  0.180851      3      0  0.138298        0          Montreal Impact  0.148936  0.308511        1.203090   0.042553      94       1708   3.968085       1.085106       0.783613    0.063830  0.180851         2         0  0.095745      Vancouver Whitecaps    0.138298    0.478723           1.138984      0.042553             98      2014        1.444444        0.000000       0.913946       1  1403758733225
78    731808     830   2.170213    1.106383    0.660194  0.010638  0.063830      2      0  0.127660        1                  Ecuador  0.085106  0.159574        0.670536   0.021277      94        368   5.425532       1.148936       0.823910    0.074468  0.180851         0         0  0.223404                   France    0.372340    1.021277           2.684211      0.095745              4      2013        0.571429        0.000000       0.801294       1  1403736851201
79    731808     368   5.425532    1.148936    0.823910  0.074468  0.180851      0      0  0.223404        0                   France  0.372340  1.021277        2.684211   0.095745      94        830   2.170213       1.106383       0.660194    0.010638  0.063830         2         0  0.127660                  Ecuador    0.085106    0.159574           0.670536      0.021277              4      2013        1.750000        0.000000       1.247981       1  1403736832700
