     matchid  teamid  op_teamid  competitionid  seasonid  is_home                team_name             op_team_name                   timestamp  goals  op_goals  points  avg_points  avg_goals  op_avg_goals   pass_70   pass_80  op_pass_70  op_pass_80  expected_goals  op_expected_goals    passes  bad_passes  pass_ratio   corners     fouls     cards     shots  op_passes  op_bad_passes  op_corners  op_fouls  op_cards  op_shots  goals_op_ratio  shots_op_ratio  pass_op_ratio
30    741510    2077       1207             98      2014        0               Toronto FC             Chicago Fire  2014-07-03 01:30:00.000000      1         1       1    1.833333   1.833333      1.333333  0.502893  0.209295    0.541321    0.163587        1.005347           0.896897  3.237738    1.156047    0.726417  0.043972  0.149309  2.666667  0.133707   3.954442       1.301960    0.038671  0.168626  1.666667  0.124823        1.166667        1.140868       0.979352
31    741510    1207       2077             98      2014        1             Chicago Fire               Toronto FC  2014-07-03 01:30:00.000000      1         1       1    1.333333   1.666667      1.833333  0.408253  0.133738    0.480245    0.174483        0.810239           0.964904  2.905469    1.143325    0.708108  0.043885  0.122842  1.833333  0.119535   4.259407       1.240451    0.065349  0.163237  2.000000  0.107253        0.819444        1.285648       0.915590
32    731822     596        360              4      2013        0                      USA                  Belgium  2014-07-01 21:00:00.000000      1         2       0    1.333333   1.333333      1.333333  0.426254  0.140185    0.734931    0.239397        1.294750           0.960679  3.509013    1.056425    0.764512  0.040445  0.149980  1.500000  0.136641   4.528082       1.084670    0.044397  0.131843  2.166667  0.166856        0.916667        0.908167       0.969229
33    731821     497        632              4      2013        0              Switzerland                Argentina  2014-07-01 17:00:00.000000      0         1       0    1.666667   1.333333      1.166667  0.453431  0.169624    0.646050    0.272712        1.290786           1.451859  3.512752    1.031953    0.742200  0.044594  0.167776  1.666667  0.146271   4.132385       1.053009    0.064162  0.166071  2.166667  0.169408        1.066667        1.164385       0.952704
34    731821     632        497              4      2013        1                Argentina              Switzerland  2014-07-01 17:00:00.000000      1         0       3    2.500000   1.833333      1.333333  0.697555  0.232530    0.421237    0.126472        1.671601           1.045808  5.503643    0.958873    0.844575  0.073717  0.178503  0.666667  0.189222   2.871541       0.907255    0.046755  0.110343  1.333333  0.142601        1.583333        1.631789       1.162384
35    731820    1215        357              4      2013        0                  Algeria                  Germany  2014-06-30 21:00:00.000000      1         2       0    0.833333   1.000000      1.166667  0.414207  0.176104    0.551990    0.158450        0.908731           1.417512  3.282029    1.112388    0.742551  0.040875  0.146038  2.166667  0.120872   4.401586       1.136849    0.062381  0.177896  1.666667  0.137135        0.583333        1.023393       0.942959
36    731820     357       1215              4      2013        1                  Germany                  Algeria  2014-06-30 21:00:00.000000      2         1       3    2.166667   2.333333      0.833333  0.752198  0.212542    0.606098    0.203699        1.777160           0.958349  5.257990    1.095486    0.817335  0.064874  0.151441  0.833333  0.144464   4.256790       1.002584    0.052347  0.111768  1.333333  0.156871        1.916667        1.215720       1.021531
37    731819    1216        368              4      2013        0                  Nigeria                   France  2014-06-30 17:00:00.000000      0         2       0    0.833333   1.000000      1.333333  0.444458  0.118058    0.662841    0.207362        0.684687           1.889236  3.219459    1.040196    0.749190  0.041361  0.111439  1.500000  0.134383   4.065930       1.032196    0.082116  0.152541  1.166667  0.196591        0.527778        0.739275       0.967262
38    731819     368       1216              4      2013        1                   France                  Nigeria  2014-06-30 17:00:00.000000      2         0       3    1.333333   1.500000      1.000000  0.690783  0.237937    0.378435    0.134392        1.727640           0.902119  4.403457    1.041322    0.797735  0.057351  0.166830  1.833333  0.186233   3.324555       1.016114    0.021506  0.156248  2.333333  0.130810        1.000000        1.910672       1.064669
39    741509    1897       1616             98      2014        0           Houston Dynamo          Montreal Impact  2014-06-30 00:30:00.000000      0         3       0    0.500000   0.500000      2.500000  0.540497  0.235529    0.531705    0.191737        0.842481           1.485522  3.305740    1.255625    0.719329  0.053424  0.101719  1.833333  0.119376   3.973073       1.152909    0.048258  0.131787  1.666667  0.157316        0.233333        0.808703       0.944547
