matchid  teamid  op_teamid  competitionid  seasonid  is_home      team_name   op_team_name                   timestamp  avg_points  avg_goals  op_avg_goals   pass_70   pass_80  op_pass_70  op_pass_80  expected_goals  op_expected_goals    passes  bad_passes  pass_ratio   corners     fouls     cards     shots  op_passes  op_bad_passes  op_corners  op_fouls  op_cards  op_shots  goals_op_ratio  shots_op_ratio  pass_op_ratio
74   731772    1266       1221              4      2013        0          Japan  Côte d'Ivoire  2014-06-15 02:00:00.000000    1.333333   0.833333      1.000000  0.330657  0.139124    0.623956    0.210517        0.673783           1.527557  2.881158    1.044084    0.724004  0.031763  0.204021  1.833333  0.115587   4.558866       1.176136    0.072476  0.158680  1.500000  0.176791        0.708333        0.660305       0.936485
75   731772    1221       1266              4      2013        1  Côte d'Ivoire          Japan  2014-06-15 02:00:00.000000    1.166667   1.500000      1.500000  0.668007  0.217030    0.341671    0.121682        1.260181           1.104275  4.133066    0.871992    0.816772  0.069457  0.189073  2.333333  0.207972   3.432046       0.948929    0.026921  0.182256  2.500000  0.096476        0.972222        2.321813       1.064797
76   731774     119        114              4      2013        0          Italy        England  2014-06-14 23:00:00.000000    1.500000   1.666667      1.000000  0.496869  0.167253    0.392152    0.125834        1.293492           0.819298  3.860631    1.269834    0.751236  0.071360  0.220566  1.166667  0.155081   3.110920       1.222167    0.038044  0.154383  2.833333  0.120762        1.444444        2.145838       1.068078
77   731774     114        119              4      2013        1        England          Italy  2014-06-14 23:00:00.000000    1.500000   0.666667      0.833333  0.626817  0.237946    0.529548    0.198947        1.357936           0.876933  4.032587    1.271667    0.757797  0.079649  0.149403  2.000000  0.158875   3.438586       1.187723    0.041254  0.143271  2.166667  0.162152        0.541667        1.064351       1.044802
80   731769     366        118              4      2013        0    Netherlands          Spain  2014-06-13 20:00:00.000000    2.500000   1.666667      1.000000  0.377535  0.114067    0.414283    0.154361        1.261985           0.631147  3.985267    1.114803    0.770876  0.042191  0.171541  3.666667  0.134144   3.778354       1.076910    0.055892  0.190867  2.333333  0.149143        1.416667        0.919785       1.004817
81   731769     118        366              4      2013        1          Spain    Netherlands  2014-06-13 20:00:00.000000    3.000000   1.333333      0.166667  0.789337  0.275930    0.282471    0.083692        1.195027           0.349814  5.868158    1.073690    0.842605  0.075390  0.203058  1.333333  0.171928   2.869640       1.150959    0.035118  0.122755  3.500000  0.094398        1.333333        1.879630       1.215670
84   318304     118        366              4      2009        0          Spain    Netherlands  2010-07-11 19:30:00.000000    2.500000   1.166667      0.333333  0.916127  0.320926    0.275798    0.078803        1.190367           0.423041  6.198442    1.095908    0.847952  0.085513  0.198140  0.500000  0.187099   2.790419       1.130468    0.032184  0.112588  2.666667  0.091062        1.166667        2.092593       1.231128
85   318304     366        118              4      2009        1    Netherlands          Spain  2010-07-11 19:30:00.000000    3.000000   2.000000      0.833333  0.441434  0.125495    0.355863    0.141802        1.430309           0.520719  4.427288    1.079974    0.798461  0.044747  0.183219  2.500000  0.149068   3.401187       1.060267    0.048547  0.175913  1.666667  0.141959        1.750000        1.072563       1.062642
86   318303     357        837              4      2009        0        Germany        Uruguay  2010-07-10 19:30:00.000000    2.000000   2.166667      0.500000  0.625714  0.209227    0.606563    0.228998        1.516615           1.237257  4.636524    1.103230    0.800573  0.057586  0.129961  1.666667  0.158714   4.432975       1.022354    0.054136  0.115118  2.000000  0.166153        2.166667        1.031405       0.994593
87   318303     837        357              4      2009        1        Uruguay        Germany  2010-07-10 19:30:00.000000    1.833333   1.500000      0.833333  0.294269  0.100177    0.590904    0.186159        0.948478           0.629242  2.706500    1.236931    0.681130  0.047962  0.173231  1.833333  0.147627   4.297061       1.260304    0.048066  0.142897  2.833333  0.161195        1.277778        1.043434       0.886263
88   318302     118        357              4      2009        0          Spain        Germany  2010-07-07 19:30:00.000000    2.000000   1.166667      0.833333  0.817561  0.268955    0.232787    0.073426        0.977764           0.606969  5.963675    1.090531    0.842955  0.087305  0.223230  0.666667  0.176346   2.464254       1.080288    0.030392  0.152015  3.166667  0.096438        1.055556        1.833333       1.238853
89   318302     357        118              4      2009        1        Germany          Spain  2010-07-07 19:30:00.000000    2.500000   2.666667      0.500000  0.610688  0.220570    0.544174    0.184668        1.519110           1.276323  4.412982    1.047438    0.799011  0.050496  0.146720  2.000000  0.173602   4.179302       1.018849    0.054412  0.126462  2.500000  0.166784        2.666667        1.114738       0.999160
91   318300     118        835              4      2009        0          Spain       Paraguay  2010-07-03 19:30:00.000000    2.000000   1.166667      0.833333  0.838838  0.290231    0.284206    0.078746        1.247422           0.569954  5.915803    1.040886    0.847856  0.092624  0.217911  0.833333  0.183438   2.661063       1.023551    0.035711  0.169745  2.833333  0.091119        1.055556        2.083333       1.185198
92   318300     835        118              4      2009        1       Paraguay          Spain  2010-07-03 19:30:00.000000    1.500000   0.833333      0.333333  0.435143  0.166069    0.470942    0.164533        1.090763           0.679401  3.626984    1.296638    0.732324  0.038402  0.196535  2.000000  0.155487   3.127112       1.333035    0.038872  0.170592  2.333333  0.117469        0.833333        1.700408       1.060885
93   318299     357        632              4      2009        0        Germany      Argentina  2010-07-03 15:00:00.000000    2.000000   2.000000      0.833333  0.586023  0.213107    0.436161    0.153716        1.107181           1.308629  4.392118    1.052291    0.797141  0.048726  0.136479  2.166667  0.165635   4.090245       1.038171    0.061921  0.129987  2.333333  0.155154        2.000000        1.131405       1.003570
94   318299     632        357              4      2009        1      Argentina        Germany  2010-07-03 15:00:00.000000    2.666667   2.166667      0.666667  0.645833  0.213295    0.490723    0.137096        2.040939           0.354435  5.006433    0.994714    0.824838  0.066609  0.192192  2.000000  0.167983   2.960376       0.999191    0.033863  0.155863  2.000000  0.140496        2.166667        1.378166       1.128951
96   318297     614        366              4      2009        0         Brazil    Netherlands  2010-07-02 15:00:00.000000    2.166667   1.833333      0.500000  0.596736  0.209064    0.438062    0.149028        1.509215           0.779172  4.853862    0.969876    0.824921  0.062891  0.184917  2.333333  0.170889   3.383770       0.923451    0.048411  0.175396  3.166667  0.145120        1.833333        1.299062       1.066494
97   318297     366        614              4      2009        1    Netherlands         Brazil  2010-07-02 15:00:00.000000    2.166667   1.166667      0.500000  0.511755  0.128719    0.368141    0.137711        1.322143           0.567973  4.606321    1.056708    0.810003  0.050075  0.168919  3.000000  0.171353   3.184939       0.990741    0.050442  0.183014  2.833333  0.136412        1.166667        1.287520       1.088370
98   318296     359        118              4      2009        0       Portugal          Spain  2010-06-29 19:30:00.000000    1.000000   1.333333      0.666667  0.571091  0.188042    0.514411    0.205604        1.325153           0.552797  4.300374    1.039304    0.799698  0.055582  0.144707  2.166667  0.187329   3.741612       1.026516    0.041827  0.149737  2.166667  0.133790        1.222222        1.475783       1.038258
99   318296     118        359              4      2009        1          Spain       Portugal  2010-06-29 19:30:00.000000    2.000000   1.500000      1.000000  0.816074  0.318409    0.276694    0.078650        1.261566           0.701218  5.876090    1.074765    0.843096  0.103148  0.224660  1.000000  0.195506   2.561677       1.035810    0.032108  0.165951  3.500000  0.082082        1.388889        2.791667       1.195265
100  318295    1266        835              4      2009        0          Japan       Paraguay  2010-06-29 15:00:00.000000    1.166667   1.000000      1.500000  0.368675  0.141257    0.672685    0.207530        0.692530           1.563314  3.038992    0.992411    0.745834  0.030525  0.210848  1.666667  0.112813   4.632598       1.139355    0.073500  0.141356  2.000000  0.189762        0.763889        0.601972       0.954693
101  318295     835       1266              4      2009        1       Paraguay          Japan  2010-06-29 15:00:00.000000    1.333333   0.833333      0.500000  0.425452  0.147148    0.480949    0.170543        0.820842           0.745829  3.574275    1.308945    0.727540  0.032278  0.183049  2.000000  0.161641   3.366760       1.368260    0.043128  0.159751  2.000000  0.120344        0.833333        1.718616       1.033192
